NO,PUSKESMAS,X,Y
1,Puskesmas Tiku,99.92315997,-0.39460291
2,Puskesmas Muaro Putuih,99.82930277,-0.29878054
3,Puskesmas Lubuk Basung,100.05890092,-0.32391577
4,Puskesmas Manggopoh,99.97328481,-0.32163598
5,Puskesmas Batu Kambing,100.05940393,-0.20287974
6,Puskesmas Bawan,100.02306244,-0.19420297
7,Puskesmas Pasar Ahad,100.20241442,-0.24944268
8,Puskesmas Maninjau,100.22734378,-0.30543054
9,Puskesmas Matur,100.28709648,-0.27949078
10,Puskesmas Palembayan,100.22919806,-0.18330271
11,Puskesmas Koto Alam,100.10754842,-0.12949300
12,Puskesmas IV Koto,100.35752369,-0.33806783
13,Puskesmas Malalak,100.27034202,-0.38930008
14,Puskesmas Padang Lua,100.38416782,-0.34497512
15,Puskesmas Sungai Pua,100.41066334,-0.35560387
16,Puskesmas Biaro,100.43237450,-0.28824640
17,Puskesmas Lasi,100.43684300,-0.31783900
18,Puskesmas Pakan Kamih,100.39616441,-0.25314976
19,Puskesmas Kapau,100.40659300,-0.27364900
20,Puskesmas Magek,100.43088762,-0.23790603
21,Puskesmas Baso,100.46714800,-0.28566600
22,Puskesmas Padang Tarok,100.51676900,-0.26558000
23,Puskesmas Palupuah,100.30452670,-0.16560009
