NO_KODE,NAMA_PUSKESMAS,BUJUR_X,LINTANG_Y
18,Arjasari,107.636808,-7.051376
32,Baleendah,107.613776,-7.006590
19,Banjaran DTP,107.592268,-7.041609
21,Banjaran Kota,107.589638,-7.046078
12,Bihbul,107.57699,-6.964332
62,Bojongsoang,107.637462,-6.967564
11,Cangkuang,107.590542,-6.972838
61,Cibeunying,107.632917,-6.877917
58,Cibiru Hilir,107.720611,-6.945611
48,Cicalengka DTP,107.838566,-6.986386
27,Cikalong,107.555194,-7.119472
51,Cikancung,107.825167,-7.011889
40,Cikaro,107.763687,-7.050745
59,Cilengkrang,107.698608,-6.903123
56,Cileunyi,107.742864,-6.942283
52,Ciluluk,107.809205,-7.032763
28,Cimaung,107.562543,-7.088712
60,Cimenyan,107.664592,-6.877793
57,Cinunuk,107.731889,-6.937417
29,Ciparay DTP,107.722235,-7.038139
45,Cipedes,107.790542,-7.027200
7,Ciwidey,107.46558,-7.100351
10,Dayeuhkolot,107.627336,-6.989710
46,Ibun,107.763639,-7.100861
34,Jelekong,107.668171,-7.017779
14,Katapang,107.550712,-7.010323
37,Kertasari,107.67525,-7.193639
22,Kiangroke,107.569889,-7.055583
4,Kopo,107.525289,-7.004188
3,Kutawaringin,107.53293,-6.981373
54,Linggar,107.791046,-6.964595
39,Majalaya,107.758518,-7.047333
16,Margaasih,107.542278,-6.931750
13,Margahayu Selatan,107.569837,-6.972186
23,Nagrak,107.553651,-7.061516
50,Nagreg,107.885094,-7.018931
55,Nanjungmekar,107.818121,-6.966721
35,Pacet,107.704382,-7.105152
43,Padamukti,107.770444,-7.007028
31,Pakutandang,107.708842,-7.055223
20,Pameungpeuk,107.59528,-7.021800
36,Panca,107.729954,-7.098078
24,Pangalengan DTP,107.571000,-7.176500
44,Paseh,107.778194,-7.054222
5,Pasirjambu,107.476438,-7.092754
17,Rahayu,107.552687,-6.969492
9,Rancabali,107.41965,-7.131661
53,Rancaeekek DTP,107.760235,-6.959133
33,Rancamanyar,107.595778,-6.986722
8,Rawabogo,107.445244,-7.076290
15,Sangkanhurip,107.579361,-6.997444
38,Santosa,107.643235,-7.254209
49,Sawah lega,107.856543,-6.999043
42,Solokanjeruk,107.754194,-7.011556
1,Soreang,107.537605,-7.032087
47,Sudi,107.771667,-7.088278
6,Sugihmukti,107.444232,-7.120958
2,Sukajadi,107.499363,-7.051533
26,Sukamanah,107.590528,-7.204889
30,Sumbersari,107.711222,-6.999389
41,Wangisagara,107.738861,-7.077556
25,Warnasari,107.542532,-7.193480
