No Resp,Adv19,Adv21,Mon19,Mon21,Ino19,Ino21,Dana19,Dana21,JP19,JP21,Kapa19,Kapa21,APD19,APD21,Ontime19,Ontime21,Lab19,Lab21,Imun19,Imun21,Prom19,Prom21,Susp19,Susp21,Inisiasi19,Inisiasi21,Gizi19,Gizi21,Sanitasi19,Sanitasi21,Kontak19,Kontak21,Lengkap19,Lengkap21,Sembuh19,Sembuh21,Lost19,Lost21,Kasus19,Kasus21,Death19,Death21
1,3,0,8,2,1,1,11000000,9000000,5,4,3,0,752,1446,11,10,258,68,307,244,2,0,284,122,46,36,14,6,14,6,24,20,35,17,13,16,0,2,46,36,2,1
2,3,0,8,0,1,1,15000000,10000000,5,5,1,0,500,945,9,11,101,22,124,113,3,0,94,20,19,11,5,5,5,6,5,5,17,11,4,0,0,0,19,12,0,1
3,5,1,14,3,2,2,10000000,10000000,7,6,4,2,850,2050,12,11,322,78,627,610,4,1,534,299,158,84,15,20,15,20,15,0,168,77,25,4,2,5,165,86,2,2
4,3,0,12,2,1,1,16500000,16500000,6,5,3,2,800,1750,12,11,223,92,504,475,3,1,337,170,83,56,0,0,35,57,10,30,77,34,13,17,0,2,85,58,1,1
5,2,0,8,1,1,1,18000000,19000000,4,4,1,1,650,1350,12,10,155,70,134,123,3,0,204,82,20,12,0,0,9,7,9,7,15,9,7,2,1,1,21,17,1,0
6,1,0,8,1,1,1,22000000,20000000,5,4,1,0,620,1450,11,10,140,69,274,248,2,0,234,75,43,21,16,20,0,0,16,16,34,19,19,0,0,2,46,23,0,0
7,2,2,7,2,2,2,5000000,3303341,5,5,3,0,650,1520,12,12,250,32,233,168,3,0,310,65,43,19,24,7,24,7,24,7,30,13,11,5,1,2,46,19,0,1
8,3,1,9,0,1,1,15000000,15000000,5,5,2,1,700,1300,12,11,187,166,286,190,2,0,269,178,25,38,15,16,15,16,15,16,22,32,4,4,0,0,25,35,0,1
9,2,0,7,0,1,1,20000000,10000000,5,4,2,0,650,1212,11,11,157,37,233,277,3,0,156,37,16,12,17,10,17,10,17,12,7,10,7,0,0,1,16,12,1,2
10,4,2,8,0,1,1,13000000,13000000,4,4,1,0,600,1390,12,12,252,77,122,111,2,0,243,80,19,7,8,5,6,4,7,5,10,7,3,0,0,0,19,5,0,0
11,3,0,8,0,1,1,2000000,3000000,5,4,2,1,650,1400,12,12,233,102,418,379,2,0,316,157,24,10,7,0,7,0,7,4,21,9,7,1,1,0,24,10,0,0
12,3,0,4,0,1,0,5000000,15000000,5,4,3,0,739,1389,12,12,254,131,330,263,3,0,222,114,29,22,0,0,10,5,18,5,0,2,29,19,0,0,30,22,0,2
13,2,0,8,0,1,1,15000000,6000000,5,4,2,0,670,1298,12,11,230,98,102,92,2,0,104,93,7,6,12,7,12,7,12,7,6,3,5,1,0,0,8,5,1,2
14,5,1,12,2,1,1,4000000,3000000,6,5,4,2,800,1674,12,12,321,62,400,242,4,0,348,60,29,23,16,3,3,1,23,6,4,9,19,12,0,1,29,21,3,3
15,2,0,8,1,1,0,8000000,8400000,5,5,4,1,700,1350,12,12,107,27,296,240,4,0,190,93,31,19,30,30,30,27,30,27,6,5,10,10,2,0,31,20,0,1
16,4,1,15,2,2,2,14000000,12000000,7,6,3,1,850,1650,12,12,442,232,640,442,4,2,430,211,42,22,20,21,20,21,32,18,15,9,21,13,1,0,43,24,0,3
17,2,0,7,0,1,1,16000000,13350000,4,4,1,0,750,1400,12,12,127,86,281,298,2,0,126,88,21,15,20,18,20,18,20,18,4,1,10,11,0,1,22,17,0,2
18,3,1,11,1,1,1,15000000,35000000,6,5,2,1,750,1750,12,12,237,139,265,278,4,3,237,139,28,19,21,12,21,12,21,12,9,11,15,8,0,0,29,19,1,1
19,2,0,8,1,1,1,50000000,13000000,4,4,2,0,600,1300,11,10,171,29,159,164,2,0,58,30,5,2,11,8,11,8,11,0,1,2,3,0,0,0,10,3,0,0
20,2,0,7,0,1,0,11000000,8000000,6,5,1,0,652,1250,12,10,121,53,217,201,2,0,114,48,8,18,11,9,11,9,12,4,3,8,5,9,0,1,13,17,0,0
21,4,0,8,2,1,1,24000000,24000000,5,5,3,1,700,1850,12,12,167,120,254,253,4,1,173,118,24,22,28,28,28,20,28,23,8,12,12,7,1,2,27,21,1,1
22,2,0,6,0,1,1,5000000,5000000,5,4,2,0,600,1300,10,12,111,22,197,173,3,0,98,22,6,1,5,5,5,5,5,5,2,1,9,0,0,0,6,1,0,2
23,2,0,8,1,1,1,10315000,49373000,4,4,1,0,600,1126,12,11,165,105,179,177,3,0,165,105,13,6,13,0,0,0,13,6,7,1,6,4,1,1,13,6,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
