No_Responden,Adv19,Adv21,Mon19,Mon21,Ino19,Ino21,Dana19,Dana21,JP19,JP21,Kapa19,Kapa21,APD19,APD21,Ontime19,Ontime21,Lab19,Lab21,Imun19,Imun21,Prom19,Prom21,Susp19,Susp21,Inisiasi19,Inisiasi21,Gizi19,Gizi21,Sanitasi19,Sanitasi21,Kontak19,Kontak21,Lengkap19,Lengkap21,Sembuh19,Sembuh21,Lost19,Lost21,Kasus19,Kasus21,Death19,Death21
1,2,2,8,4,0,0," 14,500,000 "," 12,000,000 ",3,3,2,0,1000,1650,10,10,120,62,1056,977,12,12,162,81,61,42,48,10,48,10,55,23,26,34,37,25,1,2,65,44,0,0
2,2,1,6,1,1,1," 11,550,000 "," 12,125,000 ",4,4,4,2,1155,1800,12,5,410,285,1476,1323,12,12,455,285,102,66,43,6,40,6,87,32,38,33,29,19,2,3,105,69,1,3
3,2,1,5,0,1,0," 8,400,000 "," 9,090,000 ",4,4,6,3,900,1800,10,8,145,36,511,430,19,8,204,61,38,10,30,5,25,3,32,6,6,28,16,5,1,0,39,10,1,0
4,2,0,6,1,1,1," 12,500,000 "," 11,500,000 ",4,4,4,0,1200,1925,12,10,88,56,910,1056,6,3,119,23,46,25,35,16,20,8,22,14,9,17,17,6,2,1,47,26,1,0
5,2,2,6,4,0,1," 12,000,000 "," 14,000,000 ",2,2,1,0,1000,1400,12,12,75,58,1188,796,2,2,116,91,23,21,18,14,80,19,24,13,21,17,9,7,1,1,24,22,0,0
6,2,0,5,0,1,1," 12,000,000 "," 12,000,000 ",4,3,3,1,1000,1500,12,12,118,71,1156,924,6,3,186,99,59,46,45,8,40,10,30,22,35,21,12,13,2,2,61,48,0,0
7,2,1,7,3,1,1," 29,000,000 "," 29,000,000 ",4,3,4,0,1060,1800,12,12,175,120,2274,1901,18,11,243,192,120,84,67,31,66,23,10,41,63,67,34,15,0,4,123,88,1,1
8,2,3,4,0,1,0," 13,000,000 "," 11,000,000 ",4,2,3,1,930,1220,8,4,223,131,1449,1127,12,6,342,178,105,65,55,22,40,25,78,30,32,46,35,19,2,3,108,68,4,1
9,2,1,4,4,1,1," 9,000,000 "," 9,000,000 ",4,2,2,0,855,1185,12,12,231,132,692,590,6,0,278,151,38,31,10,15,10,15,30,12,24,35,18,5,1,1,39,32,3,2
10,2,0,6,1,1,1," 16,000,000 "," 16,000,000 ",4,3,3,1,1152,1517,11,10,265,202,1484,1426,10,1,265,203,99,79,61,48,53,32,89,37,17,26,33,28,1,4,102,82,4,0
11,2,1,4,4,1,1," 12,000,000 "," 10,000,000 ",4,4,4,0,800,1900,7,6,400,200,1574,1415,12,3,434,138,103,60,52,20,63,20,67,33,50,72,30,6,2,3,106,63,0,2
