No_Responden,Adv19,Mon19,Ino19,Dana19,JP19,Kapa19,APD19,Ontime19,Lab19,Imun19,Prom19,Susp19,Inisiasi19,Gizi19,Sanitasi19,Kontak19,Lengkap19,Sembuh19,Lost19,Kasus19,Death19
1,2,8,0,"14,500,000",3,2,1000,10,120,1056,12,162,61,48,48,55,26,37,1,65,0
2,4,6,1,"11,550,000",4,4,1155,12,410,1476,12,455,102,43,40,87,38,29,2,105,1
3,4,5,1,"8,400,000",4,6,900,10,145,511,19,204,38,30,25,32,6,16,1,39,1
4,3,6,1,"12,500,000",4,4,1200,12,88,910,6,119,46,35,20,22,9,17,2,47,1
5,6,6,0,"12,000,000",2,1,1000,12,75,1188,2,116,23,18,80,24,21,9,1,24,0
6,3,5,1,"12,000,000",4,3,1000,12,118,1156,6,186,59,45,40,30,35,12,2,61,0
7,4,7,1,"29,000,000",4,4,1060,12,175,2274,18,243,120,67,66,10,63,34,0,123,1
8,5,4,1,"13,000,000",4,3,930,8,223,1449,12,342,105,55,40,78,32,35,2,108,4
9,3,4,1,"9,000,000",4,2,855,12,231,692,6,278,38,10,10,30,24,18,1,39,3
10,5,6,1,"16,000,000",4,3,1152,11,265,1484,10,265,99,61,53,89,17,33,1,102,4
11,3,4,1,"12,000,000",4,4,800,7,400,1574,12,434,103,52,63,67,50,30,2,106,0
12,4,5,1,"14,000,000",5,3,951,11,211,977,10,247,102,49,40,87,73,26,4,105,1
13,3,4,0,"17,550,000",4,2,1220,11,250,1321,3,195,153,65,50,115,83,84,2,157,4
14,2,5,1,"10,200,000",3,1,1050,12,276,801,4,168,47,19,20,42,26,10,2,48,1
15,4,4,0,"18,000,000",3,2,900,12,150,1151,3,209,98,35,35,92,51,24,4,100,3
16,4,2,1,"29,405,000",2,4,1000,12,544,1197,5,834,128,45,32,93,53,48,3,131,4
17,5,5,1,"16,250,000",4,3,920,12,154,1495,2,226,84,32,29,75,47,32,3,86,0
18,6,6,1,"20,255,000",4,4,1000,12,200,1587,4,281,135,71,65,102,48,51,5,138,0
19,8,4,2,"18,800,000",4,0,850,12,322,874,12,274,136,20,15,120,33,63,2,139,0
20,1,7,2,"14,000,000",3,1,750,7,240,862,3,187,54,20,20,43,29,3,2,55,1
21,4,4,4,"16,700,000",4,0,900,6,150,741,5,239,61,61,58,51,50,6,2,63,0
22,4,7,1,"9,400,000",3,1,950,12,100,948,3,180,42,35,30,35,28,31,2,43,4
23,4,6,1,"16,250,000",5,3,1055,12,245,1532,5,292,87,43,40,69,41,34,3,89,2
24,4,6,1,"16,100,000",3,2,880,12,183,702,5,261,92,54,41,78,48,15,2,94,2
25,4,6,1,"19,250,000",2,2,900,12,251,702,3,317,80,39,39,74,36,22,3,82,1
26,4,4,1,"24,000,000",4,1,1250,14,113,1397,12,415,107,50,50,100,61,28,4,110,4
27,4,6,2,"11,000,000",3,3,800,16,256,960,12,468,89,36,36,65,41,30,3,91,4
28,5,5,0,"21,750,000",4,2,1100,12,87,1180,2,550,128,44,20,99,39,53,3,131,4
29,5,4,1,"18,500,000",3,1,1000,17,440,974,12,300,86,15,15,59,48,18,3,88,7
30,3,5,1,"19,000,000",3,0,800,12,15,673,1,440,85,80,80,65,61,22,3,87,3
31,6,10,1,"20,650,000",5,1,950,12,149,1603,12,596,145,54,80,97,42,60,5,149,2
32,1,5,0,"25,000,000",4,1,1300,12,600,1212,1,786,146,65,34,88,39,49,3,150,1
33,2,4,1,"11,800,000",3,0,880,12,80,989,12,285,78,12,16,56,61,24,2,80,1
34,12,4,1,"17,600,000",4,5,900,11,336,1010,10,225,73,50,70,75,66,51,0,75,0
35,6,4,1,"12,700,000",4,3,865,14,189,1174,7,184,68,68,68,68,37,25,1,70,5
36,2,5,0,"11,100,000",5,1,700,14,270,1099,12,240,88,10,10,58,50,29,3,90,1
37,4,5,1,"14,500,000",4,3,1000,12,249,1494,12,129,127,20,15,100,78,53,5,130,4
38,2,5,1,"13,930,000",5,3,850,12,47,1018,4,93,53,50,72,32,42,9,2,54,1
39,4,4,1,"10,850,000",4,4,900,8,150,942,4,160,33,18,18,29,36,12,1,34,1
40,4,5,1,"9,400,000",4,4,900,10,29,475,3,39,26,10,10,23,12,4,1,27,1
