Bulan,Suspek2019,Kasus2019,Kematian2019,Suspek2021,Kasus2021,Kematian2021,,,,,,
Januari,1388,395,10,713,271,9,,,,,,
Februari,1541,421,8,649,249,9,,,,,,
Maret,1629,515,8,803,317,11,,,,,,
April,1275,357,13,788,291,9,,,,,,
Mei,1094,343,10,633,257,4,,,,,,
Juni,1189,421,12,640,195,6,,,,,,
Juli,1256,512,8,485,299,3,,,,,,
Agustus,1436,498,16,622,251,4,,,,,,
September,1505,507,9,860,279,6,,,,,,
Oktober,1379,435,12,945,281,7,,,,,,
November,1591,598,10,872,337,8,,,,,,
Desember,1653,605,14,1504,353,5,,,,,,
