Kecamatan,Puskesmas,Wilayah Kerja (Nagari)
,,
,,
Tanjung Mutiara,TIKU,Tiku Selatan
,,Tiku Utara
,MUARO PUTUIH,Tiku V Jorong
Lubuk Basung,LUBUK BASUNG,Lubuk Basung
,,Geragahan
,MANGGOPOH,Manggopoh
,,Kampung Pinang
,,Kampung Tangah
Ampek Nagari,BATUKAMBING,Batu Kambiang
,,Sitalang
,,Sitanang
,BAWAN,Bawan
Tanjung Raya,PASAR AHAD,Koto Gadang
,,Duo Koto
,,Koto Kaciak
,,Koto Malintang
,,Perwakilan Tanjung Sani
,MANINJAU,Sungai Batang
,,Bayur
,,Maninjau
,,Tanjung Sani
Matur,MATUR,Matur Hilir
,,Matur Mudiak
,,Tigo Balai
,,Lawang
,,Parik Panjang
,,Panta Pauah
Palembayan,PALEMBAYAN,Baringin
,,Sipinang
,,Sungai Pua
,,IV Koto Palembayan
,KOTO ALAM,Salareh Aia Barat
,,Salareh Aia Timur
,,Salareh Aia Utara
,,Salareh Aia Selatan
,,Tigo Koto Silungkang
IV KOTO,IV KOTO,Sungai Landia
,,Balingka
,,Koto Tuo
,,Guguak Tabek Sarojo
,,Koto Panjang
,,Sianok 6 Suku
,,Koto Gadang
MALALAK,MALALAK,Malalak Utara
,,Malalak Selatan
,,Malalak Timur
,,Malalak Barat
PADANG LUA,PADANG LUA,Padang Lua
,,Taluak IV Suku
,,Pakan Sinayan
,,Kubang Putiah
,,Ladang Laweh
,,Cingkariang
,,Sungai Tanang
SUNGAI PUA,SUNGAI PUA,Padang Laweh
,,Sungai Pua
,,Batagak
,,Batu Palano
,,Sariak
AMPEK ANGKEK,BIARO,Batu Taba 
,,Biaro Gadang
,,Lambah
,,Panampuang
,,Ampang Gadang
,,Pasia
,,Balai Gurah
CANDUANG,LASI,Canduang Koto Laweh
,,Lasi
,,Bukik Batabuah
TILATANG KAMANG,PAKAN KAMIS,Koto Tangah
,,Gadut
,KAPAU,Kapau
,,Koto Tangah
,,Gadut
KAMANG MAGEK,MAGEK,Magek
,,Kamang Hilia
,,Kamang Mudiak
,,Kamang Tangah 6 Suku
,,Pauah Kamang Mudiak
BASO,BASO,Tabek Panjang
,,Sungai Cubadak
,,Salo
,,Koto Baru
,,Koto Tinggi
,,Koto Gadang
,PADANG TAROK,Padang Tarok
,,Simarasok
PALUPUAH,PALUPUH,Koto Malintang
,,Pasie Laweh
,,Pagadih
,,Nan Tujuah
,,Nan Limo
