NO,KECAMATAN,DESA,KODE PUSKESMAS,PUSKESMAS,
1,ARJASARI,Arjasari,1030583,ARJASARI,
2,ARJASARI,Ancolmekar,1030583,ARJASARI,
3,ARJASARI,Pinggirsari,1030583,ARJASARI,
4,ARJASARI,Patrolsari,1030583,ARJASARI,
5,ARJASARI,Rancakole,1030583,ARJASARI,
6,ARJASARI,Lebakwangi,1030582,BANJARAN DTP,
7,ARJASARI,Batukarut,1030582,BANJARAN DTP,
8,ARJASARI,Baros,1030582,BANJARAN DTP,
9,ARJASARI,Mangunjaya,1030582,BANJARAN DTP,
10,ARJASARI,Mekarjaya,1030582,BANJARAN DTP,
11,ARJASARI,Wargaluyu,1030582,BANJARAN DTP,
12,BALEENDAH,Baleendah,1030579,BALEENDAH,
13,BALEENDAH,Andir,1030579,BALEENDAH,
14,BALEENDAH,Bojongmalaka,1030581,RANCAMANYAR,
15,BALEENDAH,Rancamanyar,1030581,RANCAMANYAR,
16,BALEENDAH,Malakasari,1030581,RANCAMANYAR,
17,BALEENDAH,Manggahang,1030580,JELEKONG,
18,BALEENDAH,Jelekong,1030580,JELEKONG,
19,BALEENDAH,Wargamekar,1030580,JELEKONG,
20,BANJARAN,Banjaran Wetan,1030585,BANJARAN KOTA,
21,BANJARAN,Banjaran Kulon,1030585,BANJARAN KOTA,
22,BANJARAN,Ciapus,1030585,BANJARAN KOTA,
23,BANJARAN,Tarajusari,1030585,BANJARAN KOTA,
24,BANJARAN,Mekarjaya,1030585,BANJARAN KOTA,
25,BANJARAN,Kamasan,1030584,KIANGROKE,
26,BANJARAN,Sindangpanon,1030584,KIANGROKE,
27,BANJARAN,Kiangroke,1030584,KIANGROKE,
28,BANJARAN,Margahurip,1030584,KIANGROKE,
29,BANJARAN,Neglasari,1030584,KIANGROKE,
30,BANJARAN,Pasirmulya,1030584,KIANGROKE,
31,BOJONGSOANG,Lengkong,1030600,BOJONGSOANG,
32,BOJONGSOANG,Bojongsoang,1030600,BOJONGSOANG,
33,BOJONGSOANG,Buahbatu,1030600,BOJONGSOANG,
34,BOJONGSOANG,Cipagalo,1030600,BOJONGSOANG,
35,BOJONGSOANG,Bojongsari,1030600,BOJONGSOANG,
36,BOJONGSOANG,Tegalluar,1030600,BOJONGSOANG,
37,CANGKUANG,Cangkuang,1030586,NAGRAK,
38,CANGKUANG,Ciluncat,1030586,NAGRAK,
39,CANGKUANG,Nagrak,1030586,NAGRAK,
40,CANGKUANG,Bandasari,1030586,NAGRAK,
41,CANGKUANG,Pananjung,1030586,NAGRAK,
42,CANGKUANG,Jatisari,1030586,NAGRAK,
43,CANGKUANG,Tanjungsari,1030586,NAGRAK,
44,CICALENGKA,Cicalengka Kulon,1030565,CICALENGKA DTP,
45,CICALENGKA,Cicalengka Wetan,1030565,CICALENGKA DTP,
46,CICALENGKA,Cikuya,1030565,CICALENGKA DTP,
47,CICALENGKA,Panenjoan,1030565,CICALENGKA DTP,
48,CICALENGKA,Tenjolayaa,1030565,CICALENGKA DTP,
49,CICALENGKA,Waluya,1030565,CICALENGKA DTP,
50,CICALENGKA,Babakanpeuteuy,1030566,SAWAHLEGA,
51,CICALENGKA,Dampit,1030566,SAWAHLEGA,
52,CICALENGKA,Margaasih,1030566,SAWAHLEGA,
53,CICALENGKA,Narawita,1030566,SAWAHLEGA,
54,CICALENGKA,Tanjungwangi,1030566,SAWAHLEGA,
55,CICALENGKA,Nagrog,1030566,SAWAHLEGA,
56,CIKANCUNG,Mandalasari,1030563,CIKANCUNG,
57,CIKANCUNG,Cikancung,1030563,CIKANCUNG,
58,CIKANCUNG,Cikasungka,1030563,CIKANCUNG,
59,CIKANCUNG,Hegarmanah,1030563,CIKANCUNG,
60,CIKANCUNG,Tanjunglaya,1030563,CIKANCUNG,
61,CIKANCUNG,Cihanyir,1030564,CILULUK,
62,CIKANCUNG,Ciluluk,1030564,CILULUK,
63,CIKANCUNG,Mekarlaksana,1030564,CILULUK,
64,CIKANCUNG,Srirahayu,1030564,CILULUK,
65,CILENGKRANG,Jatiendah,1030604,CILENGKRANG,
66,CILENGKRANG,Cilengkrang,1030604,CILENGKRANG,
67,CILENGKRANG,Cipanjalu,1030604,CILENGKRANG,
68,CILENGKRANG,Melatiwangi,1030604,CILENGKRANG,
69,CILENGKRANG,Ciporeat,1030604,CILENGKRANG,
70,CILENGKRANG,Girimekar,1030604,CILENGKRANG,
71,CILEUNYI,Cileunyi Kulon,1030602,CILEUNYI,
72,CILEUNYI,Cileunyi Wetan,1030602,CILEUNYI,
73,CILEUNYI,Cimekar,1030601,CINUNUK,
74,CILEUNYI,Cinunuk,1030601,CINUNUK,
75,CILEUNYI,Cibiru Hilir,1030603,CIBIRU HILIR,
76,CILEUNYI,Cibiru Wetan,1030603,CIBIRU HILIR,
77,CIMAUNG,Cipinang,1030550,CIKALONG,
78,CIMAUNG,Mekarsari,1030550,CIKALONG,
79,CIMAUNG,Sukamaju,1030550,CIKALONG,
80,CIMAUNG,Cikalong,1030550,CIKALONG,
81,CIMAUNG,Malasari,1030550,CIKALONG,
82,CIMAUNG,Cimaung,1030551,CIMAUNG,
83,CIMAUNG,Jagabaya,1030551,CIMAUNG,
84,CIMAUNG,Pasirhuni,1030551,CIMAUNG,
85,CIMAUNG,Campakamulya,1030551,CIMAUNG,
86,CIMAUNG,Warjabakti,1030550,CIKALONG,
87,CIMENYAN,Cimenyan,1030605,CIMENYAN,
88,CIMENYAN,Mandalamekar,1030605,CIMENYAN,
89,CIMENYAN,Cikadut,1030605,CIMENYAN,
90,CIMENYAN,Sindanglaya,1030605,CIMENYAN,
91,CIMENYAN,Mekarmanik,1030605,CIMENYAN,
92,CIMENYAN,Padasuka,1030606,CIBEUNYING,
93,CIMENYAN,Cibeunying,1030606,CIBEUNYING,
94,CIMENYAN,Ciburial,1030606,CIBEUNYING,
95,CIMENYAN,Mekarsaluyu,1030606,CIBEUNYING,
96,CIPARAY,Ciparay,1030576,CIPARAY DTP,
97,CIPARAY,Mekarsari,1030576,CIPARAY DTP,
98,CIPARAY,Manggungharja,1030576,CIPARAY DTP,
99,CIPARAY,Sarimahi,1030576,CIPARAY DTP,
100,CIPARAY,Mekarlaksana,1030576,CIPARAY DTP,
101,CIPARAY,Ciheulang,1030578,SUMBERSARI,
102,CIPARAY,Sumbersari,1030578,SUMBERSARI,
103,CIPARAY,Serangmekar,1030578,SUMBERSARI,
104,CIPARAY,Bumiwangi,1030578,SUMBERSARI,
105,CIPARAY,Gunungleutik,1030577,PAKUTANDANG,
106,CIPARAY,Cikoneng,1030577,PAKUTANDANG,
107,CIPARAY,Pakutandang,1030577,PAKUTANDANG,
108,CIPARAY,Sagaracipta,1030577,PAKUTANDANG,
109,CIPARAY,Babakan,1030577,PAKUTANDANG,
110,CIWIDEY,Ciwidey,1030545,CIWIDEY,
111,CIWIDEY,Panundaan,1030545,CIWIDEY,
112,CIWIDEY,Panyocokan,1030545,CIWIDEY,
113,CIWIDEY,Lebakmuncang,1030546,RAWABOGO,
114,CIWIDEY,Nengkelan,1030546,RAWABOGO,
115,CIWIDEY,Rawabogo,1030546,RAWABOGO,
116,CIWIDEY,Sukawening,1030546,RAWABOGO,
117,DAYEUHKOLOT,Dayeuhkolot,1030598,DAYEUHKOLOT,
118,DAYEUHKOLOT,Sukapura,1030598,DAYEUHKOLOT,
119,DAYEUHKOLOT,Citeureup,1030598,DAYEUHKOLOT,
120,DAYEUHKOLOT,Pasawahan,1030599,CANGKUANG,
121,DAYEUHKOLOT,Cangkuang Wetan,1030599,CANGKUANG,
122,DAYEUHKOLOT,Cangkuang Kulon,1030599,CANGKUANG,
123,IBUN,Ibun,1030559,IBUN,
124,IBUN,Dukuh,1030559,IBUN,
125,IBUN,Pangguh,1030559,IBUN,
